[2023-08-10 14:08:35,943] Register - Step 01 : Navigate to register Page
[2023-08-10 14:08:37,267] Register - Step 02 : Enter to FirstName textbox with value is AUTOMATION
[2023-08-10 14:08:37,424] Register - Step 03 : Enter to LastName textbox with value is fc
[2023-08-10 14:08:37,945] Register - Step 04 : Select birthday 23/October/1990
[2023-08-10 14:08:38,001] Register - Step 04 : Enter to email textbox with value is automationfc9735@fakemail.vn
[2023-08-10 14:08:38,142] Register - Step 05 : Enter to password textbox with value is 123456
[2023-08-10 14:08:38,288] Register - Step 06 : Enter to confirmPw textbox with value is 123456
[2023-08-10 14:08:38,426] Register - Step 07: Click to Register Button
[2023-08-10 14:08:39,385] Register - Step 08 : Verify register success
[2023-08-10 14:08:39,447] Register - Step 09 : Go to HomePage
[2023-08-10 14:12:44,364] Register - Step 01 : Navigate to register Page
[2023-08-10 14:12:52,442] Register - Step 02 : Enter to FirstName textbox with value is AUTOMATION
[2023-08-10 14:12:52,618] Register - Step 03 : Enter to LastName textbox with value is fc
[2023-08-10 14:12:53,352] Register - Step 04 : Select birthday 23/October/1990
[2023-08-10 14:12:53,441] Register - Step 04 : Enter to email textbox with value is automationfc8814@fakemail.vn
[2023-08-10 14:12:53,632] Register - Step 05 : Enter to password textbox with value is 123456
[2023-08-10 14:12:53,786] Register - Step 06 : Enter to confirmPw textbox with value is 123456
[2023-08-10 14:12:53,959] Register - Step 07: Click to Register Button
[2023-08-10 14:12:56,018] Register - Step 08 : Verify register success
[2023-08-10 14:12:56,109] Register - Step 09 : Go to HomePage
[2023-08-10 14:12:57,481] Register - Step 01 : Navigate to Login Page
[2023-08-10 14:13:39,041] My Account - Step 01: Navigate to 'My Account' Page
[2023-08-10 14:13:40,106] My Account - Step 02: Verify  'My Account' Page is displayed
[2023-08-10 14:13:40,167]  -------------------------- PASSED -------------------------- 
[2023-08-10 14:13:40,167] My Account - Step 03: Verify  'My Account' Page is displayed
[2023-08-10 14:13:40,228] My Account - Step 04: Verify  lastname is displayed correct
[2023-08-10 14:13:40,289] My Account - Step 05: Verify  email is displayed correct
[2023-08-10 14:13:45,321] Register - Step 01 : Navigate to register Page
[2023-08-10 14:13:46,682] Register - Step 02 : Enter to FirstName textbox with value is AUTOMATION
[2023-08-10 14:13:46,781] Register - Step 03 : Enter to LastName textbox with value is fc
[2023-08-10 14:13:47,830] Register - Step 04 : Select birthday 23/October/1990
[2023-08-10 14:13:47,926] Register - Step 04 : Enter to email textbox with value is automationfc1666@fakemail.vn
[2023-08-10 14:13:48,054] Register - Step 05 : Enter to password textbox with value is 123456
[2023-08-10 14:13:48,134] Register - Step 06 : Enter to confirmPw textbox with value is 123456
[2023-08-10 14:13:48,211] Register - Step 07: Click to Register Button
[2023-08-10 14:13:50,386] Register - Step 08 : Verify register success
[2023-08-10 14:13:50,447] Register - Step 09 : Go to HomePage
[2023-08-10 14:13:50,942] Register - Step 01 : Navigate to Login Page
[2023-08-10 14:14:31,851] My Account - Step 01: Navigate to 'My Account' Page
[2023-08-10 14:14:32,840] My Account - Step 02: Verify  'My Account' Page is displayed
[2023-08-10 14:14:32,917]  -------------------------- PASSED -------------------------- 
[2023-08-10 14:14:32,917] My Account - Step 03: Verify  'My Account' Page is displayed
[2023-08-10 14:14:32,975] My Account - Step 04: Verify  lastname is displayed correct
[2023-08-10 14:14:33,038] My Account - Step 05: Verify  email is displayed correct
[2023-08-10 14:29:10,422] Register - Step 01 : Navigate to register Page
[2023-08-10 14:29:11,716] Register - Step 02 : Enter to FirstName textbox with value is AUTOMATION
[2023-08-10 14:29:11,863] Register - Step 03 : Enter to LastName textbox with value is fc
[2023-08-10 14:29:12,382] Register - Step 04 : Select birthday 23/October/1990
[2023-08-10 14:29:12,442] Register - Step 04 : Enter to email textbox with value is automationfc6408@fakemail.vn
[2023-08-10 14:29:12,577] Register - Step 05 : Enter to password textbox with value is 123456
[2023-08-10 14:29:12,712] Register - Step 06 : Enter to confirmPw textbox with value is 123456
[2023-08-10 14:29:12,857] Register - Step 07: Click to Register Button
[2023-08-10 14:29:13,662] Register - Step 08 : Verify register success
[2023-08-10 14:29:13,718] Register - Step 09 : Go to HomePage
[2023-08-10 14:29:14,344] Register - Step 01 : Navigate to Login Page
[2023-08-10 14:29:55,733] My Account - Step 01: Navigate to 'My Account' Page
[2023-08-10 14:29:57,356] My Account - Step 02: Verify  'My Account' Page is displayed
[2023-08-10 14:29:57,419]  -------------------------- PASSED -------------------------- 
